SMILES,ID,Reward
CC1CCCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2CC1COc2ccccc2O1,C6,0.514812305
COc1cccc2[nH]c(C(=O)NC(CC(C)C)C(=O)COC(=O)c3ccc(C)cc3)cc12,C211,0.827277394
O=C(Cn1nnc2ccccc21)c1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1,C291,0.890073107
CN(CC(=O)NC1CCCC1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,C312,0.755700674
CC(C)c1ccc(N(C(=O)c2ccco2)C2(C(=O)NC3CCCC3)CCCCC2)cc1,C321,0.595549943
CCC1(OC(=O)NCC2CCNC2=O)CCN(C(=O)OC(C)(C)C)CC1,C396,0.493636028
COc1cccc2[nH]c(C(=O)NC(C=O)CCC(=O)N(C)C)cc12,C438,0.594638163
CC1CC(C)C(=O)N(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3c2ccccc2)C1,C477,0.257068342
CC(C)CC(NC(=O)c1cc2ccccc2[nH]1)C(=O)C(=O)NC1CC1,C582,0.65707861
CC1CCC2C(=O)N(c3cc(Cl)ccc3NC(=O)c3ccco3)C(=O)C2C1,C640,0.587931247
CCN(CC(=O)C(=O)N1CCCCC1)C(=O)c1cc2c(=O)c(OC)cccc2[nH]1,C707,0.672660999
CN1C(=S)C(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc21,C746,0.634446361
CCOC(=O)C=CCC1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)C1,C799,0.516874076
CC(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(=O)NC(C=O)Cc1c[nH]cn1)c1ccccc1,C845,0.799698127
CC(=O)NC(CO)C(=O)NC(C)CC(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C=O)Cc1c[nH]cn1)C(C)C,C922,0.776318383
COc1ccccc1OCCNC(=O)C(CC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,C939,0.831591917
Cc1noc(C)c1CCNC(=O)c1cc(=O)[nH]c2ccccc12,C1084,0.683567439
CC(C)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cnccn1,C1181,0.560933136
O=C(Cn1nnc2ccccc21)N1CCN(c2cccc(C(F)(F)F)c2)CC1,C1218,0.36725193
O=C(O)c1sc(Cl)cc1CSC(=S)NCc1cccnc1,C1234,0.470036553
CC(C)CC(NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)CN(C)C(=O)c1cc2ccccc2[nH]1,C1250,0.591629703
COc1ccc(C(NC(=O)C(CC(C)C)NC(=O)c2cc3c(OC)cccc3[nH]2)C(=O)NCC2CC2)cc1,C1309,0.878172745
COc1ccc(CC(=O)C(CC2CCCCC2)NC(=O)c2cc3c(OC)cccc3[nH]2)cc1,C1417,0.799698127
O=C(NC(Cc1ccccc1)C(=O)On1nnc2ccccc21)C1CCCC1,C1452,0.726987843
CN(CC(=O)NC1CCCC1)S(=O)(=O)c1ccc2cc[nH]c2c1,C1546,0.647519303
O=C(Oc1cncc(Cl)c1)N1CCN(c2ccccc2)CC1,C1646,0.773266798
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)C(=O)NC1CC1)C(=O)c1cnc[nH]1,C1679,0.769315755
