ID,SMILES
C200,Nc1cccc(O)c1
C201,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
C3,COc1cccc(N)c1
C397,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC
C398,Nc1ccc(N)cc1
C399,COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC
C4,COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1
C408,O=C(Cl)c1ccccc1
C6,COc1cc2ncnc(Cl)c2cc1OC
R41,>>COc1cccc(N)c1
R43,COc1cc2ncnc(Cl)c2cc1OC.COc1cccc(N)c1>>COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1
R574,>>Nc1cccc(O)c1
R63,>>COc1cc2ncnc(Cl)c2cc1OC
R70,COc1cc2ncnc(Cl)c2cc1OC.Nc1cccc(O)c1>>COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
R81,COc1cc2ncnc(Cl)c2cc1OC.Nc1ccc(N)cc1>>COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC
R873,COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC.O=C(Cl)c1ccccc1>>COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC
R874,>>Nc1ccc(N)cc1
R892,>>O=C(Cl)c1ccccc1
