strategy,N,Reward,Cost,N_rxns,Average reaction score,Expected Reward
Reward Only,1,1.0,3.0,4,0.6931584260651236,0.0
Reward Only,11,11.0,531.5,40,0.8055058237926069,5.976881429363102
Reward Only,21,21.0,575.8,65,0.7597491138105655,9.744752297769086
Reward Only,31,30.4615,883.6000000000001,97,0.6846057368307387,11.148387833206856
Reward Only,41,39.6923,1046.1000000000004,130,0.6984264621628214,13.096145178342619
Reward Only,51,48.8462,1140.9000000000003,158,0.647992763159669,15.545268878952944
Reward Only,61,57.1538,1164.4000000000003,178,0.6470853383392139,19.926181488805682
Reward Only,71,64.5385,1375.5000000000005,195,0.6227538058325311,22.524783288754595
Reward Only,81,70.3846,1404.9000000000005,205,0.6193629970883631,26.032447626803723
Reward Only,91,74.8462,1435.9000000000005,213,0.6223807784902491,27.981373358855677
Reward Only,101,77.8462,1461.5000000000005,225,0.617318576347287,28.76045620070807
SA Score Only,1,0.2308,77.3,1,0.0,0.0
SA Score Only,11,4.7692,121.5,13,0.5476604529373916,2.061420739133503
SA Score Only,21,11.0,150.99999999999997,28,0.5892938236212456,5.874475176799479
SA Score Only,31,17.6923,274.29999999999995,45,0.6166543521498974,9.299555347878323
SA Score Only,41,25.6154,381.69999999999993,69,0.5755928129805653,11.656393701085555
SA Score Only,51,31.8462,541.5999999999999,83,0.5952589634478963,14.900328331861965
SA Score Only,61,40.0769,601.0,105,0.5787021382952349,16.83660445529782
SA Score Only,71,48.7692,809.7,134,0.5872348054608372,19.813095963214742
SA Score Only,81,57.6923,973.9000000000001,158,0.6239561422713424,24.344121261033056
SA Score Only,91,65.6923,990.4000000000001,185,0.6031304417773217,24.731343421257268
SA Score Only,101,74.6923,1470.1,221,0.620082037577165,28.2852474126514
Combined Score,1,0.9231,4.5,1,0.9999927891856605,0.9230702668636871
Combined Score,11,8.6923,130.9,19,0.574696249714062,4.863940691370986
Combined Score,21,14.6154,197.79999999999995,34,0.5912860435848826,6.949301686622429
Combined Score,31,22.4615,244.0999999999999,55,0.583512709980029,10.590575882511727
Combined Score,41,28.9231,325.59999999999985,74,0.5749567713133191,12.4679412635917
Combined Score,51,36.9231,696.1999999999999,101,0.6062840405091078,15.196859901908192
Combined Score,61,45.7692,844.0,127,0.6138797932947029,19.209043650757618
Combined Score,71,54.5385,900.7000000000002,154,0.6221383209181638,20.69425943464171
Combined Score,81,59.8462,960.0000000000002,167,0.6286443076389647,23.747746245847384
Combined Score,91,68.0769,1232.2000000000005,193,0.6280286681232834,25.38241953702253
Combined Score,101,75.9231,1469.5000000000005,222,0.621766830569281,28.742822379545256
