SMILES,Activity probability,Cytotoxicity probability,PPB fraction,SA score,Max similarity,Closest known molecule,Neutral SMILES
CC(C)=CCc1c2c(c([O-])c3c(O)c(C(=O)C=C(C)C)c([O-])cc13)OC(C)(C)C=C2,0.984278619,0.660097957,0.95885986,4.12,0.8,c1c2c(c(=O)c(CC=C(C)C)c(-c3ccc(O)cc3O)o2)c(O)c(CC=C(C)C)c1O,CC(C)=CCc1c2c(c(O)c3c(O)c(C(=O)C=C(C)C)c(O)cc13)OC(C)(C)C=C2
COc1c([O-])cc(OCC(O)CNCCCCC[NH+]2SCCC2c2ccccc2)c2c1C(=O)C=CC2O,0.968586922,0.852744341,0.825617,5.12,0.67,C1CN(c2c(F)cc3c(=O)c4c(=O)[nH]sc4n(C4CC4)c3c2OC)CC1C1(N)CC1,COc1c(O)cc(OCC(O)CNCCCCCN2SCCC2c2ccccc2)c2c1C(=O)C=CC2O
OCC[NH2+]Cc1ccc(Oc2ccc(Cl)cc2O)cc1,0.963029087,0.485698849,0.6195475,3.0,0.73,Clc1cc(Cl)cc(Sc2c(OCCN)c(Cl)cc(Cl)c2)c1OCCN,OCCNCc1ccc(Oc2ccc(Cl)cc2O)cc1
[NH-]S(=O)(=O)c1ccc2c(=O)c(Cl)c(O)[n-]c2c1,0.95930481,0.486813992,0.88432646,4.33,0.71,N(S(=O)(c1ccc2c(c1)NC(=O)C(C)S2)=O)c1ccccc1C,NS(=O)(=O)c1ccc2c(=O)c(Cl)c(O)[nH]c2c1
CCCCC(CN(O)C=O)C(=O)[N-]C(CCCCCNC(=O)CCCCN)C(=O)NO,0.953132093,0.798971772,0.25861013,4.18,0.7,C(C)(C)C(NC(C(CCCCC)CC(=O)NO)=O)C(=O)N1CCCC1CO,CCCCC(CN(O)C=O)C(=O)NC(CCCCCNC(=O)CCCCN)C(=O)NO
CC(C)=CCCc1c([O-])ccc2cc3c(c(O)c12)OCC(c1ccc([O-])cc1[O-])O3,0.951367199,0.524008632,0.94937456,4.57,0.71,c1cc(O)c2c(=O)c3c(cc(C)c4c3C(O)C(C(C)=C)CO4)oc2c1CC(C(O)(C)C)OC=O,CC(C)=CCCc1c(O)ccc2cc3c(c(O)c12)OCC(c1ccc(O)cc1O)O3
CC(C)=CCC(C)c1c([O-])c(C(C)C)c(O)c2c1-c1c(oc3cc([O-])cc([O-])c13)C(O)C2=O,0.944449365,0.538963675,0.94673955,5.19,0.79,c1c2c(c(=O)c(CC=C(C)C)c(-c3ccc(O)cc3O)o2)c(O)c(CC=C(C)C)c1O,CC(C)=CCC(C)c1c(O)c(C(C)C)c(O)c2c1-c1c(oc3cc(O)cc(O)c13)C(O)C2=O
[NH3+]C1CCN(c2nc(NCc3cc(F)cc(F)c3)nc3c2[nH]c(=O)n3C2CC2)C1,0.940960586,0.925021291,0.6970626,3.68,0.78,c1cc2ncc(Oc3nc(N4CC5C(N)C5C4)c4c([nH]c(CC)c4Cl)n3)cc2nc1,NC1CCN(c2nc(NCc3cc(F)cc(F)c3)nc3c2[nH]c(=O)n3C2CC2)C1
COc1ccc(C(=O)c2c(O)c(CC=C(C)CCC=C(C)C)c([O-])c(C(=O)CC(C)C)c2O)c([O-])c1,0.936321855,0.759077609,0.926136,3.64,0.74,C(=CCOc1cc(O)c(C(=O)C)c(O)c1CC1=C(O)C(C)(CC=C(C)C)C(O)=C(C(C)=O)C1=O)(C)C,COc1ccc(C(=O)c2c(O)c(CC=C(C)CCC=C(C)C)c(O)c(C(=O)CC(C)C)c2O)c(O)c1
COCCOC1=C(Cl)C(=O)C(C)=C(NC(=O)NCc2c(C)cc(Cl)cc2C)C1=O,0.935728252,0.735724986,0.9692766,2.93,0.67,C(CC)c1c(Cl)c(Cl)ccc1OCC(O)COc1ccc(C=C2C(=O)NC(=O)N2)cc1,COCCOC1=C(Cl)C(=O)C(C)=C(NC(=O)NCc2c(C)cc(Cl)cc2C)C1=O
C#CCC=C(C)CCC(C)(O)C(O)CC(OC(=O)Cc1cc([O-])c(C(C)C)c([O-])c1C)C(C)(C)O,0.935536325,0.630405843,0.85944265,5.17,0.74,c1c(C(=O)O)cc(O)c(C(CCC(C(C)C)O)(O)C)c1,C#CCC=C(C)CCC(C)(O)C(O)CC(OC(=O)Cc1cc(O)c(C(C)C)c(O)c1C)C(C)(C)O
Cc1cc(C)c(Cc2ccc(Oc3ccccc3)c(O)c2)c(=S)[n-]1,0.935207427,0.521977723,0.97766525,2.95,0.53,c1cc(C=Cc2ccc(OCC)cc2)[n+](C)cc1,Cc1cc(C)c(Cc2ccc(Oc3ccccc3)c(O)c2)c(=S)[nH]1
Cc1c(O)cc([O-])c2c1C(=Cc1cc([O-])c(-c3nncs3)s1)OC2=O,0.933786273,0.736619949,0.9560162,4.24,0.58,s1c(-c2c(C(=O)c3ccc(C)cc3)cn(-c3ccc(OC)cc3)n2)ccc1[N+](=O)[O-],Cc1c(O)cc(O)c2c1C(=Cc1cc(O)c(-c3nncs3)s1)OC2=O
CCC1(c2ccc([O-])c([O-])c2)C(=O)c2c([O-])cc(O)cc2N1Cc1nc2c(o1)OC(C)(C)CC2=O,0.931382954,0.530899465,0.8425106,5.01,0.7,O1Cc2ncccc2N2C(=O)c3c(c(O)cc(OC)c3C)C12,CCC1(c2ccc(O)c(O)c2)C(=O)c2c(O)cc(O)cc2N1Cc1nc2c(o1)OC(C)(C)CC2=O
NCCCCCc1c[n-]cn1,0.924970269,0.180196345,0.13716386,4.02,0.6,c1cc2c(cc1C1=NCCN1)[nH]c(-c1ccc(-c3[nH]c4c(ccc(C5=NCCN5)c4)c3)cc1)c2,NCCCCCc1c[nH]cn1
Nc1ncc(Cc2ccc([N-]C(=O)c3cn(C4CC(O)C(CO)O4)c(=O)[n-]c3=O)cc2)c(N)n1,0.916811526,0.759148359,0.6136661,4.94,0.83,c12c(c(Cl)cc(C(F)(F)F)c1)[nH]c(-c1c(=O)[nH]c(=O)n(C3CC(O)C(CO)O3)c1)n2,Nc1ncc(Cc2ccc(NC(=O)c3cn(C4CC(O)C(CO)O4)c(=O)[nH]c3=O)cc2)c(N)n1
C[N+](C)(CCCCCN)Cc1ccc(Cl)c(Cl)c1,0.91677779,0.210527956,0.61146474,2.44,0.61,NCCCNCCCNCCCNC(CCCc1c(C)ccc(C(C)(C)C)c1)CCCc1c(C)ccc(C(C)(C)C)c1,C[N+](C)(CCCCCN)Cc1ccc(Cl)c(Cl)c1
CC(C)=CCc1c2c(c3oc4cc([O-])cc(O)c4c(=O)c3c1[O-])C(=O)c1ccc(C)cc1C2=O,0.916273415,0.603490531,0.97264755,3.63,0.85,c1c2c(c(=O)c(CC=C(C)C)c(-c3ccc(O)cc3O)o2)c(O)c(CC=C(C)C)c1O,CC(C)=CCc1c2c(c3oc4cc(O)cc(O)c4c(=O)c3c1O)C(=O)c1ccc(C)cc1C2=O
CCCCCCCCCn1c2c3c(c4c(cc3c(C)c1=O)C(=O)[N-]C4=O)C=C2,0.915527046,0.843935311,0.97838503,3.68,0.69,c1cccc2cc(CN(C)C(=O)C=Cc3cc4c(nc3)NC(=O)CC4)n(C)c12,CCCCCCCCCn1c2c3c(c4c(cc3c(C)c1=O)C(=O)NC4=O)C=C2
Cc1nc2c(OCC3CC[NH+](CCc4c[n-]cn4)CC3)cc3c(c2n1C1OC(C)C(O)C1O)OC(C)(C)CN3,0.909276783,0.925806165,0.67582023,5.84,0.71,c12cc(C(=O)O)c(=O)n3c1c(c(N1CC4C(N)CC(OC)CC4C1)c(F)c2)OCC3C,Cc1nc2c(OCC3CCN(CCc4c[nH]cn4)CC3)cc3c(c2n1C1OC(C)C(O)C1O)OC(C)(C)CN3
CC1=CCc2c([O-])c3c(c(O)c2C=C1)[NH+]1C(=O)C(C)=C([NH+]2CC[NH+](C)CC2)C(=O)C1=C([O-])C(C)O3,0.903171718,0.831528306,0.7163091,6.51,0.72,c12c(N(C)C)cc(NC(=O)CNC(C)(C)C)c(O)c1C(=O)C1=C(O)C3(O)C(CC1C2)C(N(C)C)C(O)=C(C(N)=O)C3=O,CC1=CCc2c(O)c3c(c(O)c2C=C1)N1C(=O)C(C)=C(N2CCN(C)CC2)C(=O)C1=C(O)C(C)O3
CC(C)=CCc1c([O-])cc(C(C)C)c(C(=O)C(C)C)c1O,0.90197432,0.244013488,0.8810389,3.29,0.69,c1c(C(=CC)C)cc(O)c(C)c1O,CC(C)=CCc1c(O)cc(C(C)C)c(C(=O)C(C)C)c1O
CC(C)(C)c1ccc([O-])c(C(=O)Nc2cccc(Nc3nc(Nc4ccc(F)cc4)nc(-c4ccc([N+](=O)[O-])s4)n3)c2)c1,0.899505496,0.711254776,0.99794203,3.1,0.73,N(c1ccccc1[N+]([O-])=O)c1nc(N2C(c3c([N+]([O-])=O)cccc3)SCC2=O)nc(Nc2c([N+]([O-])=O)cccc2)n1,CC(C)(C)c1ccc(O)c(C(=O)Nc2cccc(Nc3nc(Nc4ccc(F)cc4)nc(-c4ccc([N+](=O)[O-])s4)n3)c2)c1
CCn1cc2ccc3[nH]c4ccc[n-][nH]c(=O)c1c2c3-4,0.895383298,0.875243604,0.7866008,4.4,0.65,s1c(-c2cccnc2)ncc1-c1c2ccc(=O)n(CCC)c2[nH]n1,CCn1cc2ccc3[nH]c4ccc[nH][nH]c(=O)c1c2c3-4
CCc1ccc(OC)c2c1C(=O)c1c(O)c3c(c([O-])c1C2=O)OC(C)(C)C=C3,0.892153203,0.783912778,0.9357343,3.32,0.8,c12c(c(O)c3c(=O)c4ccc(O)c(OC)c4oc3c1C(C=C)(C)C)C=CC(C)(C)O2,CCc1ccc(OC)c2c1C(=O)c1c(O)c3c(c(O)c1C2=O)OC(C)(C)C=C3
C=CC(c1cc(Oc2cc(Br)cc(Br)c2[O-])c(Br)cc1C)C(C)NCCCC,0.889096379,0.554028034,0.97125846,4.08,0.58,O=C(c1ccc(Cl)cc1)c1c(Cl)cc(OCCCCCCCCN(C)CC=C)cc1,C=CC(c1cc(Oc2cc(Br)cc(Br)c2O)c(Br)cc1C)C(C)NCCCC
[N-]=[N+]=Nc1cc(C(N)=[NH2+])cc(Cl)c1Oc1cc(Cl)cc(Cl)c1,0.886441231,0.545282125,0.9393,3.37,0.63,C(=NNc1nccnc1Cl)c1ccc(O)cc1O,[N-]=[N+]=Nc1cc(C(=N)N)cc(Cl)c1Oc1cc(Cl)cc(Cl)c1
O=C1c2c([O-])ccc([O-])c2S(=O)(=O)N1c1ccc(O)cc1,0.883994877,0.698035002,0.91474813,3.66,0.69,O=S(c1cc(C(=O)n2c3c(c(=O)[nH]2)cc(C#N)cc3)ccc1)(=O)N1CCc2ccccc21,O=C1c2c(O)ccc(O)c2S(=O)(=O)N1c1ccc(O)cc1
COCc1cn(-c2cc3c(=O)cc(-c4ccc(N(C)C(C)=O)cc4)oc3cc2F)nn1,0.88259536,0.870173454,0.8847015,2.78,0.76,O1CC(=O)N(Cc2nnn(-c3ccc(C)cc3)c2)c2c1ccc(Cl)c2,COCc1cn(-c2cc3c(=O)cc(-c4ccc(N(C)C(C)=O)cc4)oc3cc2F)nn1
COc1c([O-])ccc2c1CC(C(=O)c1c[n-]cn1)CC2,0.876087248,0.500377536,0.61100954,4.56,0.61,CC12C(C3(C)Cc4c5c([nH]c4C(C)(C)C3CC1)c(OC)ccc5)CC=C1C3C(C)C(C)CCC3(C(=O)OC)CCC12C,COc1c(O)ccc2c1CC(C(=O)c1c[nH]cn1)CC2
CC(C)c1ccc(C[NH2+]C2CC[NH+](Cc3cc(Cl)ccc3[O-])CC2C(=O)[O-])cc1,0.873516023,0.734651387,0.69187236,5.37,0.7,OC(=O)c1c(=O)c2cc(F)c(N3CCNCC3)cc2n(C2CC2)c1,CC(C)c1ccc(CNC2CCN(Cc3cc(Cl)ccc3O)CC2C(=O)O)cc1
