SMILES,Reward,Cluster
OCCNCc1ccc(Oc2ccc(Cl)cc2O)cc1,0.963029087,Clc1cc(Cl)cc(Sc2c(OCCN)c(Cl)cc(Cl)c2)c1OCCN
NS(=O)(=O)c1ccc2c(=O)c(Cl)c(O)[nH]c2c1,0.95930481,N(S(=O)(c1ccc2c(c1)NC(=O)C(C)S2)=O)c1ccccc1C
NC1CCN(c2nc(NCc3cc(F)cc(F)c3)nc3c2[nH]c(=O)n3C2CC2)C1,0.940960586,c1cc2ncc(Oc3nc(N4CC5C(N)C5C4)c4c([nH]c(CC)c4Cl)n3)cc2nc1
Cc1cc(C)c(Cc2ccc(Oc3ccccc3)c(O)c2)c(=S)[nH]1,0.935207427,c1cc(C=Cc2ccc(OCC)cc2)[n+](C)cc1
NCCCCCc1c[nH]cn1,0.924970269,c1cc2c(cc1C1=NCCN1)[nH]c(-c1ccc(-c3[nH]c4c(ccc(C5=NCCN5)c4)c3)cc1)c2
C[N+](C)(CCCCCN)Cc1ccc(Cl)c(Cl)c1,0.91677779,NCCCNCCCNCCCNC(CCCc1c(C)ccc(C(C)(C)C)c1)CCCc1c(C)ccc(C(C)(C)C)c1
CC(C)(C)c1ccc(O)c(C(=O)Nc2cccc(Nc3nc(Nc4ccc(F)cc4)nc(-c4ccc([N+](=O)[O-])s4)n3)c2)c1,0.899505496,N(c1ccccc1[N+]([O-])=O)c1nc(N2C(c3c([N+]([O-])=O)cccc3)SCC2=O)nc(Nc2c([N+]([O-])=O)cccc2)n1
COCc1cn(-c2cc3c(=O)cc(-c4ccc(N(C)C(C)=O)cc4)oc3cc2F)nn1,0.88259536,O1CC(=O)N(Cc2nnn(-c3ccc(C)cc3)c2)c2c1ccc(Cl)c2
COc1c(O)ccc2c1CC(C(=O)c1c[nH]cn1)CC2,0.876087248,CC12C(C3(C)Cc4c5c([nH]c4C(C)(C)C3CC1)c(OC)ccc5)CC=C1C3C(C)C(C)CCC3(C(=O)OC)CCC12C
CC(C)c1ccc(CNC2CCN(Cc3cc(Cl)ccc3O)CC2C(=O)O)cc1,0.873516023,OC(=O)c1c(=O)c2cc(F)c(N3CCNCC3)cc2n(C2CC2)c1
CC(C)=CCc1cc(O)c(CC=C(C)C)c(O)c1C,0.869790018,c1c(C(=CC)C)cc(O)c(C)c1O
CCCC(=O)c1cn(C2CCCCC2)c2ccc(CC(=O)O)c(C)c12,0.85269767,c12[n+](C)nn(CCCCCCCCC)c1C(=O)c1c(cccc1)C2=O
NCC=CC(=O)OCC(O)C#CC1CCCCC1,0.841911852,O(c1c2c(cc(CO)c1)ccc(-c1ccc(O)c(C34CC5CC(CC(C3)C5)C4)c1)c2)CCN
NCCCCCNC(=S)NCCc1c[nH]c2ccccc12,0.840919614,c1cc2c(cc1C1=NCCN1)[nH]c(-c1ccc(-c3[nH]c4c(ccc(C5=NCCN5)c4)c3)cc1)c2
