SMILES,Reward,Cluster
OCCNCc1ccc(Oc2ccc(Cl)cc2O)cc1,0.963029087,SimCluster_5
NS(=O)(=O)c1ccc2c(=O)c(Cl)c(O)[nH]c2c1,0.95930481,SimCluster_11
NC1CCN(c2nc(NCc3cc(F)cc(F)c3)nc3c2[nH]c(=O)n3C2CC2)C1,0.940960586,SimCluster_415
Cc1cc(C)c(Cc2ccc(Oc3ccccc3)c(O)c2)c(=S)[nH]1,0.935207427,SimCluster_0
NCCCCCc1c[nH]cn1,0.924970269,SimCluster_352
C[N+](C)(CCCCCN)Cc1ccc(Cl)c(Cl)c1,0.91677779,SimCluster_74
CC(C)(C)c1ccc(O)c(C(=O)Nc2cccc(Nc3nc(Nc4ccc(F)cc4)nc(-c4ccc([N+](=O)[O-])s4)n3)c2)c1,0.899505496,SimCluster_88
COCc1cn(-c2cc3c(=O)cc(-c4ccc(N(C)C(C)=O)cc4)oc3cc2F)nn1,0.88259536,SimCluster_34
COc1c(O)ccc2c1CC(C(=O)c1c[nH]cn1)CC2,0.876087248,SimCluster_80
CC(C)c1ccc(CNC2CCN(Cc3cc(Cl)ccc3O)CC2C(=O)O)cc1,0.873516023,SimCluster_28
CC(C)=CCc1cc(O)c(CC=C(C)C)c(O)c1C,0.869790018,SimCluster_377
CCCC(=O)c1cn(C2CCCCC2)c2ccc(CC(=O)O)c(C)c12,0.85269767,SimCluster_167
NCC=CC(=O)OCC(O)C#CC1CCCCC1,0.841911852,SimCluster_812
NCCCCCNC(=S)NCCc1c[nH]c2ccccc12,0.840919614,SimCluster_15
CCCCCCCCCCCCCCC(=O)c1c(O)cc(O)cc1O,0.827251434,SimCluster_18
COc1cc(CN(C=O)C(=O)C=Cc2ccc(Oc3ccc(Cl)cc3Cl)cc2)ccc1O,0.820192337,SimCluster_5
Oc1ccc(O)c(CNc2ccnc3cc(Cl)ccc23)c1,0.818061888,SimCluster_0
CCCCCCCNCCCCc1c[nH]cn1,0.812968135,SimCluster_18
O=C(O)C(Cn1ccnc1)C(O)c1ccc(O)c(O)c1,0.803309023,SimCluster_165
Oc1n[nH]c2c(N3CCCCC3)ncnc12,0.790862501,SimCluster_326
O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)c(C(=O)C=Cc2ccc(O)cc2)c1,0.788804531,SimCluster_6
NCCOc1cc(O)c2cc(Cl)ccc2c1,0.773408771,SimCluster_81
CCNC(=O)Nc1ccnc2c(N3CCNCC3)cccc12,0.769533932,SimCluster_9
N=C(N)NC(=O)c1ccc(NCCCc2c[nH]cn2)cc1,0.769381821,SimCluster_13
O=C1OC(=Cc2ccc(O)cc2O)c2ccccc21,0.759985387,SimCluster_0
CC(=O)c1nccc2c1ccn2CCCCCCn1ccnc1,0.757951319,SimCluster_165
CN(c1c(C#N)ccc(Cl)c1Cl)S(=O)(=O)c1ccc(Cl)c(Cl)c1,0.752191961,SimCluster_40
Oc1c(Cl)cc(Br)c(Cl)c1Cl,0.741181731,SimCluster_270
O=C(Nc1nc2c(O)cccc2o1)c1cc(Cl)cc(Cl)c1O,0.725188792,SimCluster_0
O=C(CC1CCCN(Cc2ccc(Cl)cc2)C1)NCCCCc1c[nH]cn1,0.723564088,SimCluster_77
Cc1ccc2nc(-c3c(O)ccc4ccccc34)n(-c3ccc(Cl)c(O)c3)c(=O)c2c1,0.721327305,SimCluster_0
COc1cc(O)cc(O)c1C=CC(=O)c1ccccc1O,0.719282269,SimCluster_5
CC(N)CCn1ccnc1,0.714150727,SimCluster_626
OCC1CN(CCCCc2c[nH]cn2)CCN1,0.700646043,SimCluster_352
Oc1cc(Cl)cc(F)c1N(CC1CC1)c1cccc(Cl)c1,0.696644902,SimCluster_81
COc1cccc(CNCC(O)COc2cc3ccc(=O)[nH]c3cc2C#CC(C)C)c1Cl,0.693618596,SimCluster_380
CC(C)=CCc1cc(O)c(O)c2oc(=O)ccc12,0.683828533,SimCluster_80
CC(C)CC(Oc1ccc(Oc2ccc(Cl)c(F)c2)c(O)c1)C(=O)N1CCCCC1,0.67784518,SimCluster_105
CC(N)C(CN)NC(=O)c1cc(Nc2ccc(C(F)(F)F)cc2)nc2ccccc12,0.668939233,SimCluster_0
O=C1NCCc2[nH]c3ccc(-c4n[nH]cc4Nc4ccc(C=Cc5cccc(Cl)c5)cc4)cc3c21,0.666504323,SimCluster_1
CC(C)C1(CO)CCC(NCc2ccc(C(=N)N)cc2)CC1,0.660832107,SimCluster_17
CC(C)C1COC(=O)N1c1ncc(Br)c(Nc2cc(NCCOCCN)c(Cl)cn2)n1,0.658506274,SimCluster_267
Cc1[nH]c2cc(C#CCNC(=S)Nc3c([N+](=O)[O-])sc4ccccc34)ccc2c(=O)c1C,0.648170292,SimCluster_11
CC(C)=CCc1c(C)c(CC=C(C)C)c(O)c(C(=O)O)c1O,0.643114746,SimCluster_533
C#CCNCCS(=O)(=O)NCC(N)C#N,0.641428053,SimCluster_811
CC(C)c1cc(N(C)C)ccc1C(=O)c1[nH]nc2ccc(-c3ccc(C(=N)N)cc3)cc12,0.637953341,SimCluster_34
CCCc1cc(O)c2oc3cc(O)c(Br)cc3c(=O)c2c1O,0.636338234,SimCluster_249
O=C(C=Cc1cc(O)c(O)c(O)c1)CC(=O)C=Cc1ccc(Cl)cc1Cl,0.630717158,SimCluster_6
Cc1ccc2c(c1)C(=O)C(=O)N2,0.629272819,SimCluster_168
NCCNc1ccc2c(O)c(C(=O)O)c(O)c(O)c2c1,0.622324526,SimCluster_100
N#Cc1ccc(Oc2ccc(-c3nc4cc(C(=N)N)ccc4[nH]3)cc2)cc1-c1cc(O)c(C(=O)O)cc1O,0.619238257,SimCluster_67
N#Cc1cc(OCc2ccc(Cl)cc2Cl)cc(Oc2ccc(CSCC3CC3)cc2O)c1,0.618347347,SimCluster_179
COc1c(-c2cc(C)c(Cl)cc2O)c(=O)c(=O)c1=O,0.616846621,SimCluster_60
NCc1cc(-c2ccnc(N)c2)cc(F)c1-c1cnc(N)nc1N,0.614744842,SimCluster_625
CCc1cnc(C#CCOc2ncccc2C(F)(F)F)c2ccccc12,0.613376081,SimCluster_10
C=CCC(NS(=O)(=O)c1c(C)cc(C)cc1C)C(=O)NC(Cc1c[nH]c2ccccc12)c1c[nH]c2ccccc2c1=O,0.611736655,SimCluster_11
O=C(NCC(O)CN1CCN(c2ccc(Cl)c(F)c2)CC1)c1cccc2cc(F)ccc12,0.60275203,SimCluster_15
CCCNCCCNc1nc(-c2cc(Cl)cc(Cl)c2)c2cc(Br)ccc2n1,0.5926615,SimCluster_99
CCCNC(=O)c1cc(C(=O)NCc2ccc([N+](=O)[O-])o2)c(C)c(-c2ccccc2CN)n1,0.588181973,SimCluster_76
Cc1cc(Nc2ccc(C#N)cc2C(=O)O)cc(C)c1C,0.583137035,SimCluster_131
Cc1cn(-c2ccc(C(=N)N)cc2)c(=O)cc1-c1ccc(Cl)cc1Cl,0.580622077,SimCluster_0
N#Cc1ccc(Cn2cc(CCNC(=O)c3ccc([N+](=O)[O-])o3)nn2)cc1,0.575080931,SimCluster_22
CC(C)Oc1cc(F)c(-c2nc(-c3cc(Cl)cc(Cl)c3)c[nH]2)c(F)c1F,0.574562728,SimCluster_473
CC(C)(C)C(=O)C(=O)C(=O)NCCc1c[nH]c2ccccc12,0.573458731,SimCluster_15
CCN(CC)Cc1cc(C)cc(NC(=O)Nc2cc(C(C)(C)C)nn2-c2cccc(NS(C)(=O)=O)c2)c1,0.566091597,SimCluster_248
O=C1NC(Cc2c[nH]cn2)CO1,0.560902715,SimCluster_324
COc1ccc(-c2csc(NN=Cc3ccccc3N(N)O)n2)cc1,0.557529747,SimCluster_0
CC(C)(C)c1ccccc1-c1ccc2ccc(O)nc2c1O,0.542559743,SimCluster_2
NCCCc1cc(O)ccc1O,0.542368233,SimCluster_13
Oc1ccc(Cc2nnc(CCNCCc3c[nH]c4ccccc34)s2)cc1,0.537501395,SimCluster_4
O=C1c2ccccc2C(=O)c2c1cc(Cl)c(Cc1ccc(O)c(Cl)c1)c2O,0.530834377,SimCluster_3
O=CC=CCc1ccc(O)cc1O,0.530309737,SimCluster_244
COc1c(O)ccc2oc(=O)c(Cl)cc12,0.530289888,SimCluster_80
N=C(N)c1ccc2[nH]c(C(=O)c3ccc(OCCCN)cc3)cc2c1,0.528292835,SimCluster_2
Cc1cc(C=NNc2nc(-c3ccc(Cl)cc3)cs2)c(C(C)(C)C)n1-c1ccccc1,0.525835156,SimCluster_0
O=[N+]([O-])c1c(Oc2ccc(Cl)cc2Cl)ccc(Cl)c1Cl,0.52145201,SimCluster_41
Cc1c(CN(C)CCCCC(=O)c2ccc3ccccc3c2)cnc2nc3ccccc3cc12,0.520707905,SimCluster_2
CC(C)=CCCC(C)=CCc1ccc(Cl)c(C#N)c1Oc1ccc(O)cc1,0.514383197,SimCluster_212
O=CN(CC=Cc1cc(Cl)cc(Cl)c1)CC1CCCC1,0.512675464,SimCluster_532
NCC(=CCNCc1c(O)[nH]c2ccccc12)c1ccc([N+](=O)[O-])cc1,0.509028256,SimCluster_1
CCc1cc(O)c(Cc2ccc(O)c(C)c2O)cc1Cl,0.505828857,SimCluster_60
O=C(NCc1cccc(Cc2c[nH]cn2)c1)c1cccc2ncccc12,0.505825222,SimCluster_4
COc1cc2nc(N3CCC(N(C)C)C3)nc(N)c2cc1OC,0.5014956,SimCluster_253
COc1cc(O)c(NC(=O)c2cc(F)cc(-c3cn[nH]c3)c2)cc1Cl,0.498889536,SimCluster_14
Cc1ccc2c(c1)C(=NN=C1CSc3cccnc3N1)C(=O)N2,0.49708584,SimCluster_168
Nc1nc(N)c2c(O)c(C=C3NC(=O)NC3=O)sc2n1,0.496346533,SimCluster_311
C#CC#CC#Cc1nc(N)cc2ccsc12,0.494718283,SimCluster_624
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(Cl)ccc1Oc1ccccc1,0.491612196,SimCluster_0
O=c1ccn(CC2CCCCC2)c2ccc(F)cc12,0.489964098,SimCluster_167
COc1cc(-c2ccc(C)cc2)c(F)cc1-n1ncc2cc(S(=O)(=O)Nc3ccncc3Sc3ncccn3)ccc21,0.488332659,SimCluster_27
O=Cc1ccc(O)cc1O,0.487078637,SimCluster_113
COc1ccc(C=NNc2nccs2)c(OC)c1OC,0.48525241,SimCluster_124
Cn1c(C=C2C(=O)Nc3c(F)cc(F)cc32)nc2ccc(OCCN3CCCC3)cc21,0.483919352,SimCluster_143
CC(C)(C)c1ccc(NCCCCCOCCNC(=O)C=CC=Cc2ccc3ccsc3c2)c(C(=O)O)c1,0.477185965,SimCluster_325
COc1c2c(c(OC)c(C(C)O)c1OC)C=CC(C)(C)O2,0.475468427,SimCluster_231
O=C(S)CCNC(=O)c1cc(Cl)cc(Cl)c1O,0.475383013,SimCluster_110
Fc1ccc(-c2nc(CCc3ccccc3)[nH]c2-c2ccc(Cl)cc2)c(F)c1F,0.463549793,SimCluster_1
Cc1nc(O)c(CNCC(O)c2ccc3c(c2)C(=NO)C(=O)N3)c(Cl)n1,0.457338274,SimCluster_134
CCc1ccc(C(=O)NC(Cc2c[nH]cn2)C(=O)n2cnc(C(F)(F)F)n2)c2cc(Cl)ccc12,0.453360528,SimCluster_126
CC(CNCCn1cc(C#N)cc1C#N)COc1ccc(O)c2ccccc12,0.451321393,SimCluster_48
CCCCCN(CCO)C(=O)OC,0.441880494,SimCluster_230
Clc1cc(Br)cc(Cn2ccnc2)c1,0.436120778,SimCluster_293
CC1CN(c2nccc3c(-c4ccnc(Cl)c4)ccnc23)CCC1N,0.434604824,SimCluster_379
C=C(C)c1cc(O)c(C(C)=O)c(OCCCCCCCC)c1,0.433214217,SimCluster_18
Oc1cc(-c2ccc(Cl)cc2)c(Br)cc1Cl,0.430870056,SimCluster_0
NC1CCC(Nc2nc(Nc3ccc(F)c(Br)c3)nc(N3CC4CC3CO4)n2)C1,0.430546016,SimCluster_75
NCc1ccc(-c2csc3cc4c(cc23)C(=O)CC4)cc1,0.425903857,SimCluster_247
CCCC(C)c1c(NC(=O)NCC(=O)N(CC)CC)cc(C(F)(F)F)cc1OC,0.425724506,SimCluster_623
COc1ccc(C(=O)NC(=S)NCCCCNC(=O)c2ccc([N+](=O)[O-])o2)cc1,0.424667805,SimCluster_76
CC(C)c1ccc(S(=O)(=O)N(C)c2ccc([N+](=O)[O-])cc2)cc1N=[N+]=[N-],0.415572435,SimCluster_22
CC1(C)C=C(C(=O)N=[N+]=[N-])c2cc(C#N)cc(F)c2O1,0.414034516,SimCluster_810
CC1(C)C=Cc2c(cc(O)c(C(=O)C=Cc3ccc(Cl)c(Cl)c3)c2O)O1,0.414001733,SimCluster_6
Oc1ccc2cccc(O)c2c1C=Cc1ccc(Cl)cc1Cl,0.412856966,SimCluster_6
O=C(C=Cc1ccc(O)cc1)c1c(O)cc(O)cc1O,0.412599146,SimCluster_6
CCc1ncnc(-c2cccc(=O)[nH]2)c1C#Cc1cnc(N)nc1,0.410586506,SimCluster_318
Nc1nc(NCCCCCCCCNc2nc3cc4ccccc4cc3s2)c2ccc(-c3ccc(F)cc3F)cc2n1,0.409389973,SimCluster_166
N#CC(N)C#Cc1n[nH]c(=O)c2ccccc12,0.408842325,SimCluster_622
Cc1c(O)cc2c(oc(=O)c3ccccc32)c1C(=O)O,0.408653587,SimCluster_3
O=C(CCCCCNC(=O)c1cc(Br)ccc1O)NCc1ccccc1O,0.407291085,SimCluster_13
N#Cc1ccc(CSC(=O)c2cc(Cl)cc(C(=O)C=Cc3ccc(Cl)cc3)c2O)cc1,0.406190157,SimCluster_6
CCCC(N)C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cn(-c5cccc(C(N)=O)c5N(C)C)nn4)cc3)c(F)c2)[nH]1,0.403560638,SimCluster_272
Cn1cc(C=C(C#N)CCCN)c2nc(N)nc(N)c21,0.399657488,SimCluster_809
COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)c(F)c4)cc3OC)ccnc2cc1OCCCN1CCCC1,0.396927148,SimCluster_21
CCCCCCCC1CCCC(C(C)=O)C1,0.396072328,SimCluster_230
O=Cc1ccccc1Cc1c[nH]cn1,0.388971984,SimCluster_324
C#Cc1cc(C)c2c(c1)Sc1ccccc1S2,0.388808489,SimCluster_351
O=C(O)CCNC(=O)c1cc(NC(=O)c2cc(-c3ncccc3F)c(F)cc2Cl)n(-c2ccccc2)n1,0.387247384,SimCluster_0
NCCCNC(=O)C1CN(Cc2cccc3ccccc23)C(=O)O1,0.384538084,SimCluster_13
CC(C)N1CCC(Cc2c[nH]cn2)CC1=O,0.383444577,SimCluster_531
CN(C)CCOc1ccc(-c2nc3c(O)cc(O)cc3o2)cc1,0.382356077,SimCluster_34
CNC(=O)C=CCNc1nc(O)cc(O)n1,0.381454915,SimCluster_206
CC(C)Nc1cc(-c2cnc3nc(-c4ccc(-c5c[nH]nc5-c5c(F)cccc5F)cc4)oc3c2)ccc1C#N,0.381261528,SimCluster_21
NCCC(N)COc1ccc(Cl)cc1,0.380061388,SimCluster_71
CC(C)(C)c1ccc(-n2cc(-c3ccc(CN)cc3)c3ccc(C(F)(F)F)cc32)cc1,0.375939667,SimCluster_10
c1coc(CCn2ccnc2)c1,0.372704417,SimCluster_165
c1ccc(-c2cc(OCCCn3ccnc3)nc(N3CCCC3)n2)nc1,0.370567709,SimCluster_149
CCC=CC(=O)Nc1cccc(-c2nc3cccc(C(=O)NCCNC(=O)CN)c3[nH]2)c1,0.370117366,SimCluster_142
OC1CCN(c2ncnc(N3CCC(F)C3)c2-c2cn[nH]c2)C1,0.366076022,SimCluster_530
Cc1ccc(-c2nnc3ccc4ccccc4n23)cc1,0.363978684,SimCluster_1
CCCCCc1c(C)c(=O)oc2cc(O)cc(O)c12,0.361915737,SimCluster_111
CC(=CC(=O)O)CCC=C(C)c1ccccc1O,0.359971672,SimCluster_79
Cc1onc(C(=O)N(C)c2ccc(-c3ccc4[nH]nc(N)c4n3)c(F)c2)c1F,0.359221011,SimCluster_37
C=CCCCC(O)CCc1ccc(O)cc1O,0.358950794,SimCluster_238
CC(C)=CCCC(C)=CCCC(C)=CCCO,0.35442546,SimCluster_472
Cc1ccc(-c2cc(=O)c3ccccc3o2)cc1,0.354396492,SimCluster_0
CCCCCNC(=O)Nc1cccc(-c2cc(NCCN)c3ccccc3n2)c1,0.351214945,SimCluster_0
Nc1ccnc(N2CCC(Oc3ccc(F)cc3F)CC2)c1[N+](=O)[O-],0.351116836,SimCluster_105
OCC1CCCCCC1NC(=S)Nc1ccccc1,0.350833893,SimCluster_196
CN1CCC(Nc2ccc(Cl)c(-c3cc4ccccc4[nH]3)c2)CC1,0.347351104,SimCluster_1
N#Cc1ccc(Oc2cnc(NS(=O)(=O)c3cn(CCCl)nn3)cc2F)c(F)c1,0.345281184,SimCluster_323
Cn1c(COCCOC(=O)c2ccc([N+](=O)[O-])o2)cc2ccccc21,0.342215836,SimCluster_76
O=C(C=Cc1cccc2c1OCO2)CCc1c[nH]cn1,0.339170694,SimCluster_324
Cc1nc(Oc2ccccc2)c(C#N)c(-c2ccc(O)cc2F)n1,0.339117795,SimCluster_0
CCCCCc1nnc(NC(=O)C=Cc2ccc(O)c(OC)c2)s1,0.338387102,SimCluster_79
O=C(NC1N=C(c2ccccc2)c2ccccc2N(c2c(Cl)cccc2Cl)C1=O)C1CCN(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1,0.332893699,SimCluster_109
CCCCCCCCCCCCC(=O)c1ncc(-c2cc(C)on2)o1,0.332256973,SimCluster_18
O=COc1c(F)cc(Cl)c(Cl)c1CC(=O)O,0.331573814,SimCluster_808
O=C1c2ccccc2C(=O)c2cc(N3CCCC3)c(O)cc21,0.331040531,SimCluster_3
Clc1c2c(cc3cccnc13)CCNC2,0.329871327,SimCluster_149
CCCCc1nc(NNC(=O)c2cc(Cl)ccc2O)cc(-c2cccs2)n1,0.324980468,SimCluster_0
ClC(Cl)(Cl)Cn1cncn1,0.322603792,SimCluster_621
CN(C)C(=O)c1ccc2c(c1)nc(Nc1ccc(Oc3ncnc(N)c3-c3ccc(Cl)cc3)c(F)c1)n2CCN1CCCC1,0.322473586,SimCluster_19
CCCCc1ccc(OCCCn2c(CC)nc3ccc(OC)cc32)cc1,0.317055494,SimCluster_5
Cc1n[nH]c2c(C(O)P(=O)(O)O)cc(C(=N)N)cc12,0.311056823,SimCluster_807
O=C1c2ccccc2C(=O)c2c(OCC(O)CNCCc3ccc(O)cc3)ccc(F)c21,0.308311611,SimCluster_0
O=C1c2ccccc2C(NCc2ccc(O)cc2)c2cccc(O)c21,0.306572437,SimCluster_1
CC(C)=CCCC(C)(O)c1ccc(O)c(Oc2ccc([N+](=O)[O-])cc2)c1,0.303979158,SimCluster_25
CCCCCCCCCCCCCCC#CC1CC[N+](C)(C)CC1,0.303710699,SimCluster_78
Cc1cc(C=CC(=O)c2cccc(-c3ccccc3O)c2)cc(O)c1C,0.303647548,SimCluster_0
CN1CCN(C(=O)c2c(N)nc(-c3ccc(F)c4[nH]ncc34)nc2N2CCN3CCCCC3C2)CC1,0.302516133,SimCluster_418
CC=CC=CC=CC=CC(=O)N1CCN(c2nnc(C(=O)c3c[nH]c(=O)[nH]c3=O)s2)CC1,0.301547468,SimCluster_595
O=C(OCCc1occc1Br)c1ccc([N+](=O)[O-])o1,0.300740063,SimCluster_76
CC(=O)NCc1cnccc1-c1cc(Cl)cc(Cl)c1,0.29963997,SimCluster_110
N=C(N)Nc1ccc(-c2c[nH]cn2)cn1,0.298036546,SimCluster_324
O=C(OC1CCOC1=O)c1cc(O)c(O)c(O)c1,0.296793401,SimCluster_411
O=[N+]([O-])c1ccc(CNC2CCN(c3ccnc4cc(-c5c[nH]c6ccccc56)ccc34)CC2)s1,0.295792788,SimCluster_15
CSc1nc(C(=O)Nc2ccc(Oc3cc(F)cc(F)c3)cc2)cn1C,0.295247078,SimCluster_7
Cn1cnc(-c2cnc(N)c(-c3cc(F)ccc3Oc3ccc(S(=O)(=O)Nc4nccs4)cc3C#N)c2)c1,0.293414146,SimCluster_27
Oc1cc(Nc2ccc(O)c(O)c2)c2ccccc2n1,0.288319886,SimCluster_0
O=C(NCc1cccc([N+](=O)[O-])c1)c1c[nH]c2cc(C#CC3(O)CN4CCC3CC4)sc2c1=O,0.286536932,SimCluster_620
CCCCCCCCCCCCCC(=O)OCP(=O)(O)O,0.284766823,SimCluster_18
