SMILES,ID,Reward
C[C@H](O)C(=O)N(CC(=O)NNC(=O)c1cccnc1)S(C)(=O)=O,C3692,20
CCOC(=O)CNC(=O)CN(C)C(=O)C1CCCCC1,C4205,20
COc1ccc(C(=O)OC(C)CNC(=O)C(F)(F)F)cc1C(C)=O,C4684,20
CN(CCO)C(=O)C1CCCCC1,C3621,20
CN(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1,C4697,20
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)COc1ccc(-c2ccccc2)cc1,C684,20
CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)C1CCCCC1,C3630,20
CN(Cc1cccc(Br)c1)C(=O)CN(C)C(=O)C1CCCCC1,C3787,20
CN(CC(=O)Nn1cnnc1)C(=O)C1CCCCC1,C4574,20
O=C(CBr)NCC(=O)Nn1cnnc1,C1178,20
COc1ccc(C(=O)Nn2cnnc2)cc1C(C)=O,C4614,20
CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)[C@H](C)O,C824,20
CNCC(=O)Nc1nc(Cl)nc2[nH]cnc12,C4368,20
CN(C(=O)C1CCCCC1)c1cc(Cl)ncn1,C311,20
CC(=O)Nc1nc(NCC(C)O)nc2[nH]cnc12,C238,20
O=C(CN(C(=O)CO)C(=O)C1CCCCC1)Nn1cnnc1,C3666,20
O=C(CN(C(=O)CO)c1cnc(Cl)nc1)Nn1cnnc1,C4058,20
C[C@H](O)C(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12,C4370,20
CN(CC(=O)Nn1cnnc1)C(=O)CO,C3902,20
CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1,C3795,20
CC(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12,C3882,20
C[C@H](O)C(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O,C4898,20
CC(CNC(=O)C(F)(F)F)Oc1ccc(-c2ccccc2)cc1,C4011,20
CC(=O)N(CC(=O)Nn1cnnc1)C(=O)CO,C83,20
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)CBr,C1704,19
O=C(OCc1cc(F)cc(F)c1)n1cnc(Br)c1,C4348,19
Fc1cc(F)cc(CBr)c1,C4352,19
CCOc1ccc(-c2ccccc2)cc1,C2578,19
CNCC(=O)N(C)c1ncnc(Cl)c1C(=O)CCc1ccccc1,C4239,19
CN(CC(=O)Nn1cnnc1)S(C)(=O)=O,C326,19
Cc1cc(C(=O)Nc2nc(Cl)nc3[nH]cnc23)ccc1NS(C)(=O)=O,C3018,19
CCOC(=O)N(CC(=O)Nn1cnnc1)S(C)(=O)=O,C3501,19
Cc1cc(C(=O)NNC(=O)c2cccnc2)ccc1NS(C)(=O)=O,C2344,19
CC(=O)N(C)CC(=O)Nn1cnnc1,C4419,19
CN(CCNn1cnnc1)C(=O)C1CCCCC1,C3084,19
CN(C(=O)CN(C(=O)O)C(=O)C1CCCCC1)c1ncnc(Cl)c1C(=O)CCc1ccccc1,C3101,19
O=C(O)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12,C2530,19
CNCC(=O)N(C)c1ncncc1[N+](=O)[O-],C2681,19
CC(C)(C)OC(=O)N(CCO)C(=O)C1CCCCC1,C4402,19
COc1ccc(O)c(CN(CC(=O)Nn2cnnc2)C(=O)CO)c1,C4852,19
COC(=O)N(CC(=O)NCCS)S(C)(=O)=O,C1054,19
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)C1CCCCC1,C2396,19
CC(O)CN(C(=O)[C@H](C)O)C(=O)C(F)(F)F,C4445,19
O=C(CN(C(=O)O)C(=O)C1CCCCC1)Nn1cnnc1,C3633,19
CC(O)CN(C(=O)c1cnn(C)c1)C(=O)[C@H](C)O,C2556,19
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)S(C)(=O)=O,C2137,19
CC(C)NCC(=O)Nc1nc(N(C(=O)OC(C)(C)C)[C@H](CO)C(C)C)nc2[nH]cnc12,C5078,19
COc1ccc(C(=O)[O-])cc1C(C)=O,C2916,19
CCOC(=O)c1cnc(C(=O)O)cn1,C3365,19
C[C@H](O)C(=O)N(C)CC(=O)Nn1cnnc1,C3261,19
COc1ccc(C(=O)OCC(=O)NCC(=O)Nn2cnnc2)cc1,C1179,19
COc1ccc(C(=O)N(CC(=O)Nn2cnnc2)C(=O)CO)cc1,C4393,19
CC(C)N(CC(=O)Nn1cnnc1)C(=O)CO,C2707,19
CC(=O)N(CC(=O)Nn1cnnc1)C(=O)O,C3404,19
COc1ccc(C(=O)c2cccnc2)cc1C(C)=O,C2491,19
CS(=O)(=O)N(CC(=O)Nn1cnnc1)C(=O)O,C4090,18
CN(CCNn1cnnc1)S(C)(=O)=O,C1160,18
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)CO,C3580,18
CCOC(=O)CN(C)C(=O)C1CCCCC1,C2971,18
CC(O)CNC(=O)c1cnc(C(=O)O)cn1,C3363,18
CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)S(C)(=O)=O,C1417,18
CC(C)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12,C902,18
CNc1cc(Cl)ncn1,C310,18
CC(=O)N(CC(C)O)C(=O)C(F)(F)F,C891,18
CC(=O)N(CC(C)=Nn1cnnc1)C(=O)C(F)(F)F,C1215,18
CC(=O)N(C)c1ncnc(Cl)c1[N+](=O)[O-],C2374,18
CC(C)(C)OC(=O)N(CCNn1cnnc1)C(=O)C1CCCCC1,C2397,18
CNCC(=O)N(C)c1ncnc(Cl)c1C(C)=O,C771,18
CCOC(=O)CNC(=O)[C@H](C)O,C823,18
O=C(CO)NCC(=O)Nn1cnnc1,C2399,17
COc1ccc(C(=O)OCC(=O)N(CC(=O)Nn2cnnc2)C(=O)OC(C)(C)C)cc1,C1703,17
CC(O)CNC(=O)C(F)(F)F,C1491,17
CC(C)(C)OC(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O,C1825,17
CC(O)CN(C(=O)c1cnn(C)c1)C(=O)C(F)(F)F,C2071,17
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)c1ccnc(CO)c1,C3357,17
COc1ccc(C(=O)[O-])cc1C(C)O,C2925,17
CC(=O)OCC(=O)NCC(=O)Nn1cnnc1,C2398,17
CCOC(=O)CN(C(=O)OC)S(C)(=O)=O,C1050,17
CC(CNC(=O)C(F)(F)F)=Nn1cnnc1,C1214,17
CC(=O)N(C)c1cc(Cl)ncn1,C1847,16
Cc1cc(C(=O)O)ccc1NS(C)(=O)=O,C2342,16
OCc1cc(Br)ccn1,C182,16
CCOC(=O)CN(C(=O)[C@H](C)O)S(C)(=O)=O,C3690,16
CC(=O)CNC(=O)C(F)(F)F,C1217,15
CC(C)(C)OC(=O)NCC(=O)Nn1cnnc1,C1182,15
CC(C)(C)OC(=O)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12,C1422,15
CN(CC(=O)Nn1cnnc1)C(=O)OC(C)(C)C,C1157,15
CCOC(=O)CNC(C)=O,C1444,15
CC(CN)=Nn1cnnc1,C1213,15
CC(=O)NCC(C)O,C888,15
COC(=O)c1ccc(NS(C)(=O)=O)c(C)c1,C2348,14
CCOC(=O)c1cncc(Br)c1,C4338,14
CC(=O)CN(C(C)=O)C(=O)C(F)(F)F,C1218,14
CCOC(=O)CN(C)C(C)=O,C3883,14
CNCCNn1cnnc1,C1159,13
O=C(O)n1cnc(Br)c1,C4358,13
CCOC(=O)CNC,C2970,13
CC(C)(C)OC(=O)N(CC(=O)O)S(C)(=O)=O,C1415,13
COc1ccc(C(=O)[O-])cc1,C1705,13
CC(O)CNC(=O)c1cnn(C)c1,C2554,13
CC(C)[C@@H](CO)NC(=O)OC(C)(C)C,C5077,13
COC(=O)c1ccc([N+](=O)[O-])c(C)c1,C2838,13
COc1ccc(C(=O)[O-])cc1Br,C2919,13
O=C(O)c1cncc(Br)c1,C2245,13
CC(=O)[O-],C440,12
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],C2842,12
CC(C)(C)OC(=O)N(CC(=O)Nc1ccc(Cl)cc1N)S(C)(=O)=O,C1830,12
CNCC(=O)Nn1cnnc1,C1158,12
CCOC(=O)CN(C)S(C)(=O)=O,C339,12
CN(CC(=O)O)C(=O)OC(C)(C)C,C768,12
CCOC(=O)C(F)(F)F,C62,11
CC(=O)O,C12,11
CNc1cc(=O)[nH]cn1,C2376,11
CC(C)(C)O,C327,10
COC(=O)c1ccc(Br)c(C)c1,C2349,10
CCBr,C2321,10
COc1ccc(C(=O)O)cc1,C1174,10
CCOC(=O)CN(C(C)=O)C(=O)OC(C)(C)C,C3401,10
Oc1ccc(-c2ccccc2)cc1,C681,10
CCOC(=O)CNC(=O)OC(C)(C)C,C828,9
CCOC(=O)CN(C)C(=O)OC(C)(C)C,C2969,7
