ID,SMILES
C1051,NCCO
C115,CS(N)(=O)=O
C1157,CN(CC(=O)Nn1cnnc1)C(=O)OC(C)(C)C
C1158,CNCC(=O)Nn1cnnc1
C1159,CNCCNn1cnnc1
C1174,COc1ccc(C(=O)O)cc1
C1175,O=C(O)CNC(=O)OCc1ccccc1
C1177,NCC(=O)Nn1cnnc1
C1178,O=C(CBr)NCC(=O)Nn1cnnc1
C1179,COc1ccc(C(=O)OCC(=O)NCC(=O)Nn2cnnc2)cc1
C1182,CC(C)(C)OC(=O)NCC(=O)Nn1cnnc1
C1211,CC(=O)CN1C(=O)c2ccccc2C1=O
C1212,CC(CN1C(=O)c2ccccc2C1=O)=Nn1cnnc1
C1213,CC(CN)=Nn1cnnc1
C1214,CC(CNC(=O)C(F)(F)F)=Nn1cnnc1
C128,CC(=O)Cl
C1295,CCOC(=O)CO
C13,O=C(O)CBr
C1383,COC(=O)c1ccc(OC)cc1
C1414,CC(C)(C)OC(=O)CN(C(=O)OC(C)(C)C)S(C)(=O)=O
C1415,CC(C)(C)OC(=O)N(CC(=O)O)S(C)(=O)=O
C1416,Nc1nc(Cl)nc2[nH]cnc12
C1417,CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)S(C)(=O)=O
C1418,CC(C)(C)OC(=O)NS(C)(=O)=O
C1419,CC(C)(C)OC(=O)CO
C1422,CC(C)(C)OC(=O)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12
C1444,CCOC(=O)CNC(C)=O
C1491,CC(O)CNC(=O)C(F)(F)F
C1581,O=C(O)CCl
C17,O=C(Cl)CCc1ccccc1
C1701,CC(C)(C)OC(=O)NC(=O)CBr
C1702,COc1ccc(C(=O)OCC(=O)NC(=O)OC(C)(C)C)cc1
C1703,COc1ccc(C(=O)OCC(=O)N(CC(=O)Nn2cnnc2)C(=O)OC(C)(C)C)cc1
C1704,CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)CBr
C1822,Nc1ccc(Cl)cc1N
C1825,CC(C)(C)OC(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O
C1830,CC(C)(C)OC(=O)N(CC(=O)Nc1ccc(Cl)cc1N)S(C)(=O)=O
C1847,CC(=O)N(C)c1cc(Cl)ncn1
C1968,COC(=O)c1ccc(OC)c(C(C)=O)c1
C2067,CC(CNC(=O)C(F)(F)F)O[Si](C)(C)C(C)(C)C
C2068,Cn1cc(C(=O)O)cn1
C2070,CC(CN(C(=O)c1cnn(C)c1)C(=O)C(F)(F)F)O[Si](C)(C)C(C)(C)C
C2071,CC(O)CN(C(=O)c1cnn(C)c1)C(=O)C(F)(F)F
C210,O=C(Cl)Oc1ccccc1
C2137,CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)S(C)(=O)=O
C2323,CCOS(=O)(=O)OCC
C234,CC(N)=O
C2342,Cc1cc(C(=O)O)ccc1NS(C)(=O)=O
C2343,NNC(=O)c1cccnc1
