SMILES,Reward
O=C([C@H]1NC[C@@H](OC(C2=CC=C(C3=CC=C(F)C=C3)C=C2)=O)C1)O,1
O=C([C@H]1NC[C@@H](OC(C2=CC=C(C3=CC=C(C(F)(F)F)C=C3)C=C2)=O)C1)O,1
O=C([C@H]1NC[C@@H](OC(C2=CC=C(C3=CC=CC=C3C)C=C2)=O)C1)O,1
O=C([C@H]1NC[C@@H](OC(C2=CC=C(NC(C3=CC=C(C(F)(F)F)C=C3)=O)C=C2)=O)C1)O,1
O=C(O[C@@H]1CN[C@H](C(O)=O)C1)C2=CC=C(OC3=CC=CC=C3)C=C2,1
O=C(O[C@@H]1CN[C@H](C(O)=O)C1)C2=CC=C(C(O)C3=CC=CC=C3)C=C2,1
O=C([C@H]1NC[C@@H](OC(C2=CC=C(NC(C3=CC=CC=C3)=O)C=C2)=O)C1)O,1
O=C([C@@H](COC(C1=CC=C(NC(C2=CC=CC=C2)=O)C=C1)=O)N)O,1
O=C([C@@H](COC(C1=CC=CC=C1)=O)N)O,1
O=C([C@@H](COC(C1=CN=CC=C1)=O)N)O,1
O=C(C1=CC=C(C(C2=CC=CC=C2)=O)C=C1)O[C@@H]3C[C@@H](C(O)=O)NC3,1
O=C(C1=CC=C(OCC2=CC=CC=C2)C=C1)O[C@H]3C[C@@H](C(O)=O)NC3,1
O=C(C1=CC=CC=C1C2=CC=CC=C2)O[C@H]3C[C@@H](C(O)=O)NC3,1
O=C(C(C1=CC=CC=C1)C2=CC=CC=C2)O[C@H]3C[C@@H](C(O)=O)NC3,1
