SMILES,ID,Reward
O=C(O[C@@H]1CN[C@H](C(=O)O)C1)c1ccc(-c2ccc(F)cc2)cc1,C381,0.479608939
O=C(O[C@@H]1CN[C@H](C(=O)O)C1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,C268,0.189385475
Cc1ccccc1-c1ccc(C(=O)O[C@@H]2CN[C@H](C(=O)O)C2)cc1,C440,0.6522346370000001
O=C(Nc1ccc(C(=O)O[C@@H]2CN[C@H](C(=O)O)C2)cc1)c1ccc(C(F)(F)F)cc1,C625,0.375698324
O=C(O[C@@H]1CN[C@H](C(=O)O)C1)c1ccc(Oc2ccccc2)cc1,C658,0.638268156
O=C(O[C@@H]1CN[C@H](C(=O)O)C1)c1ccc(C(O)c2ccccc2)cc1,C136,0.392458101
O=C(Nc1ccc(C(=O)O[C@@H]2CN[C@H](C(=O)O)C2)cc1)c1ccccc1,C586,0.566201117
N[C@H](COC(=O)c1ccc(NC(=O)c2ccccc2)cc1)C(=O)O,C485,0.560893855
N[C@H](COC(=O)c1ccccc1)C(=O)O,C181,0.074022346
N[C@H](COC(=O)c1cccnc1)C(=O)O,C324,0.0
O=C(O[C@H]1CN[C@H](C(=O)O)C1)c1ccc(C(=O)c2ccccc2)cc1,C93,0.294134078
O=C(O[C@@H]1CN[C@H](C(=O)O)C1)c1ccc(OCc2ccccc2)cc1,C402,0.423184358
O=C(O[C@@H]1CN[C@H](C(=O)O)C1)c1ccccc1-c1ccccc1,C7,0.601675978
O=C(O[C@@H]1CN[C@H](C(=O)O)C1)C(c1ccccc1)c1ccccc1,C553,1.0
