Number targets,Fraction targets,Total reward,Possible reward,Number starting materials,Cost starting materials,Number reaction steps,Average reaction score,Utility Weight,Starting Material Weight,Reaction Weight
0,0.0,0.0,90.76923076599988,1,0.0,0,,1.0,1.0,1.0
15,0.12396694214876033,9.846153846,90.76923076599988,13,13.1,10,0.9756909583829403,3.0,1.0,1.0
34,0.2809917355371901,24.0,90.76923076599988,28,43.60000000000001,30,0.953073181895827,5.0,1.0,1.0
59,0.48760330578512395,39.461538463,90.76923076599988,49,97.40000000000002,68,0.8916631064271381,10.0,1.0,1.0
74,0.6115702479338843,52.769230769999965,90.76923076599988,62,147.19999999999996,99,0.8037347777412934,20.0,1.0,1.0
95,0.7851239669421488,71.84615384499996,90.76923076599988,71,164.49999999999997,151,0.7120323583775542,30.0,1.0,1.0
101,0.8347107438016529,75.99999999899991,90.76923076599988,73,170.3,167,0.691000405899025,40.0,1.0,1.0
102,0.8429752066115702,76.92307692199988,90.76923076599988,73,171.5,170,0.6806860819829283,50.0,1.0,1.0
102,0.8429752066115702,76.92307692199994,90.76923076599988,73,171.5,170,0.6806860819829283,75.0,1.0,1.0
102,0.8429752066115702,76.92307692199992,90.76923076599988,73,171.5,170,0.6806860819829283,100.0,1.0,1.0
