strategy,N,Cumulative Reward,Starting Material Cost,Number of Reactions,Average Reaction Score
Reward Only,1,1.0,9.7,5,0.7143736044154252
Reward Only,2,1.6522,17.2,10,0.8417463159796856
Reward Only,3,2.2905,117.6,12,0.8649462186047941
Reward Only,4,2.8922,119.4,15,0.8794552012132174
Reward Only,5,3.4584,143.0,18,0.8913363842327348
Reward Only,6,4.0193,143.6,20,0.8650948834183085
Reward Only,7,4.4989,174.6,25,0.8866691077543694
Reward Only,8,4.9221,201.8,29,0.8499815855065787
Reward Only,9,5.3145,203.2,34,0.7775256661505221
Reward Only,10,5.6902,276.9,39,0.7486292363058409
Reward Only,11,5.9844,281.29999999999995,41,0.7529945002779086
Reward Only,12,6.1737,322.5999999999999,44,0.7610773599773736
Reward Only,13,6.2478,323.7999999999999,46,0.7558919863509815
Reward Only,14,6.2478,331.2999999999999,50,0.7302007215367339
SA Score Only,1,0.074,1.7999999999999998,2,0.6418137665703594
SA Score Only,2,0.6349,25.4,4,0.635367571329416
SA Score Only,3,0.6349,32.9,8,0.5350593737511502
SA Score Only,4,1.2011,33.7,11,0.6484274443636514
SA Score Only,5,1.6243,64.1,15,0.6410293449221142
SA Score Only,6,2.2626,170.5,18,0.698688209706837
SA Score Only,7,2.7422,204.2,23,0.7583138174007013
SA Score Only,8,3.0363,208.6,25,0.7646980838273035
SA Score Only,9,3.638,210.4,28,0.7832116246651184
SA Score Only,10,4.2902,214.4,33,0.8113794129800923
SA Score Only,11,4.4796,255.7,36,0.8163930543320342
SA Score Only,12,4.8553,329.40000000000003,41,0.7841662810430068
SA Score Only,13,5.8553,329.90000000000003,45,0.7716362090535495
SA Score Only,14,6.2478,331.30000000000007,50,0.730200721536734
Combined Score,1,0.5609,24.200000000000003,2,0.6289213760884724
Combined Score,2,1.5609,33.900000000000006,7,0.6899586820362958
Combined Score,3,1.6349,35.10000000000001,9,0.6792598119327544
Combined Score,4,2.2732,135.5,11,0.7341117973504965
Combined Score,5,2.8394,136.3,14,0.7805326192033162
Combined Score,6,3.4916,143.0,19,0.8301606213982187
Combined Score,7,4.0933,144.79999999999998,22,0.8447966000684949
Combined Score,8,4.5729,175.79999999999998,27,0.8685316750740723
Combined Score,9,4.9961,203.0,31,0.8365514036397257
Combined Score,10,4.9961,210.5,35,0.7906313776435152
Combined Score,11,5.2902,214.9,37,0.793198176026743
Combined Score,12,5.6659,288.6,42,0.7645000018999889
Combined Score,13,6.0584,290.0,47,0.7211788670048194
Combined Score,14,6.2478,331.29999999999995,50,0.7302007215367339
