Number targets,Fraction targets,Cumulative Reward,Possible reward,Number starting materials,Starting Material Cost,Number of Reactions,Average Reaction Score,Utility Weight,Starting Material Weight,Reaction Weight
0,0.0,0.0,6.247765364000001,0,0.0,0,,2.0,1.0,1.0
1,0.07142857142857142,1.0,6.247765364000001,2,1.3,3,0.893510341335222,5.0,1.0,1.0
3,0.21428571428571427,2.239944134,6.247765364000001,5,3.8000000000000003,8,0.913834590585571,8.0,1.0,1.0
5,0.35714285714285715,3.315363129,6.247765364000001,8,9.3,16,0.9631886385402515,12.5,1.0,1.0
7,0.5,4.25726257,6.247765364000001,12,12.700000000000001,24,0.9538669806973076,15.0,1.0,1.0
8,0.5714285714285714,4.736871509,6.247765364000001,14,13.9,29,0.9346766981405176,20.0,1.0,1.0
9,0.6428571428571429,5.031005587,6.247765364000001,16,19.1,31,0.9321454830108709,30.0,1.0,1.0
11,0.7857142857142857,5.612849163,6.247765364000001,19,21.400000000000002,39,0.8705104013230761,50.0,1.0,1.0
12,0.8571428571428571,6.173743018000001,6.247765364000001,21,23.5,45,0.8512206529649586,60.0,1.0,1.0
13,0.9285714285714286,6.247765364,6.247765364000001,22,24.3,47,0.8423096988372787,70.0,1.0,1.0
13,0.9285714285714286,6.247765364,6.247765364000001,22,24.3,47,0.8423096988372787,80.0,1.0,1.0
11,0.7857142857142857,5.612849163,6.247765364000001,197,14660.7,34,0.956868781379506,20.0,0.0,1.0
10,0.7142857142857143,5.220391062,6.247765364000001,16,303.4,28,0.9684240292226141,20.0,0.01,1.0
10,0.7142857142857143,5.220391062000001,6.247765364000001,17,108.99999999999999,29,0.9333285284397143,20.0,0.02,1.0
10,0.7142857142857143,5.220391061999999,6.247765364000001,16,72.69999999999999,31,0.9599734641379659,20.0,0.05,1.0
10,0.7142857142857143,5.220391062,6.247765364000001,16,52.699999999999996,32,0.956906830405997,20.0,0.1,1.0
10,0.7142857142857143,5.220391062,6.247765364000001,17,22.9,34,0.9374692021260351,20.0,0.2,1.0
9,0.6428571428571429,5.031005586999999,6.247765364000001,16,19.1,31,0.9321454830108709,20.0,0.35,1.0
8,0.5714285714285714,4.736871509,6.247765364000001,14,13.9,29,0.9346766981405176,20.0,0.7,1.0
7,0.5,4.25726257,6.247765364000001,12,12.700000000000001,24,0.9538669806973076,20.0,1.3,1.0
7,0.5,4.257262569999999,6.247765364000001,12,12.700000000000001,24,0.9538669806973076,20.0,2.0,1.0
13,0.9285714285714286,6.247765364000001,6.247765364000001,19,15.000000000000002,72,0.7202294488060326,20.0,1.0,0.0
13,0.9285714285714286,6.247765363999999,6.247765364000001,18,18.7,48,0.7864102993259205,20.0,1.0,0.1
12,0.8571428571428571,6.173743017999999,6.247765364000001,20,21.300000000000004,48,0.8474589883161586,20.0,1.0,0.25
11,0.7857142857142857,5.612849162999999,6.247765364000001,18,19.2,42,0.8648335168417253,20.0,1.0,0.35
9,0.6428571428571429,4.926256984,6.247765364000001,15,14.4,33,0.9224155620271198,20.0,1.0,0.5
8,0.5714285714285714,4.736871509,6.247765364000001,14,13.9,29,0.9346766981405176,20.0,1.0,1.0
7,0.5,4.25726257,6.247765364000001,12,12.700000000000001,24,0.9538669806973076,20.0,1.0,1.5
7,0.5,4.25726257,6.247765364000001,12,12.700000000000001,24,0.9538669806973076,20.0,1.0,1.7
5,0.35714285714285715,3.3153631289999996,6.247765364000001,8,9.3,16,0.9631886385402515,20.0,1.0,2.0
3,0.21428571428571427,2.239944134,6.247765364000001,5,3.8000000000000003,8,0.913834590585571,20.0,1.0,3.0
2,0.14285714285714285,1.6016759779999998,6.247765364000001,4,3.2,5,0.9118873051582834,20.0,1.0,4.0
1,0.07142857142857142,1.0,6.247765364000001,2,1.3,3,0.893510341335222,20.0,1.0,5.0
