,PC 1,PC 2,Class
0,-12.479862,39.09992,All candidates
1,33.775806,-50.738132,All candidates
2,33.1895,-52.49749,All candidates
3,35.84988,-53.516518,All candidates
4,1.6825953,11.410757,All candidates
5,-16.621353,39.628307,All candidates
6,18.857002,-20.442255,All candidates
7,34.194393,-57.048897,All candidates
8,35.42223,-54.996975,All candidates
9,-38.809265,-16.856441,All candidates
10,36.764484,-54.785847,All candidates
11,-0.71586615,37.290756,All candidates
12,-8.887357,-56.60856,All candidates
13,2.5365455,-63.423565,All candidates
14,24.862152,11.705452,All candidates
15,34.367607,-54.04797,All candidates
16,-15.913491,38.560905,All candidates
17,-12.577136,39.244072,All candidates
18,34.662903,-53.605892,All candidates
19,35.355267,-57.895985,All candidates
20,-33.623978,20.839375,All candidates
21,33.180748,-52.467422,All candidates
22,34.562603,-33.900192,All candidates
23,-40.726776,-42.060684,All candidates
24,-12.4776945,39.09954,All candidates
25,7.6060762,-66.38376,All candidates
26,-63.772053,-29.19933,All candidates
27,6.933572,76.75184,All candidates
28,-81.37759,7.7047367,All candidates
29,-20.548603,38.463497,All candidates
30,18.858648,-20.414179,All candidates
31,7.543045,-66.11141,All candidates
32,-39.27774,18.898949,All candidates
33,44.990524,-24.173916,All candidates
34,-24.048737,38.31147,All candidates
35,5.6302643,-66.92978,All candidates
36,42.945957,-42.450497,All candidates
37,-9.26598,15.941257,All candidates
38,36.39639,-51.547558,All candidates
39,30.276766,-9.862473,All candidates
40,33.26348,-56.567112,All candidates
41,-33.752686,21.185272,All candidates
42,18.003609,-29.80167,All candidates
43,35.031975,-34.904804,All candidates
44,35.657665,-50.152794,All candidates
45,-40.26889,-45.19017,All candidates
46,-20.547403,38.475845,All candidates
47,6.4006996,-64.72808,All candidates
48,-20.292513,39.685688,All candidates
49,-27.782003,31.820189,All candidates
50,-6.363449,42.622456,All candidates
51,-38.808296,-16.778103,All candidates
52,7.9246845,76.70381,All candidates
53,-23.719215,7.25708,All candidates
54,-3.8881474,-64.82925,All candidates
55,16.491776,-17.68179,All candidates
56,-16.623798,39.62785,All candidates
57,0.51857364,36.17386,All candidates
58,-33.42547,20.587965,All candidates
59,-51.62827,38.42772,All candidates
60,33.536686,-52.669647,All candidates
61,-41.588478,-42.669323,All candidates
62,36.372498,-52.56564,All candidates
63,-33.09538,21.255949,All candidates
64,-65.31167,-18.723862,All candidates
65,25.958506,-17.847494,All candidates
66,41.46017,-39.12457,All candidates
67,-18.882135,6.613341,All candidates
68,-16.647133,39.62989,All candidates
69,20.485933,-13.64721,All candidates
70,20.48538,-13.647376,All candidates
71,-16.621843,39.628006,All candidates
72,38.3881,43.993942,All candidates
73,-41.986076,-42.13336,All candidates
74,18.876959,18.937943,All candidates
75,28.971745,-31.432032,All candidates
76,36.81446,-51.20476,All candidates
77,32.489506,-50.138603,All candidates
78,36.73627,-52.85587,All candidates
79,22.469696,14.426277,All candidates
80,-67.65494,-25.994411,All candidates
81,-41.41157,-42.30289,All candidates
82,36.763493,-54.758663,All candidates
83,45.526688,-24.824604,All candidates
84,-39.920864,-43.313988,All candidates
85,-41.598286,-42.65011,All candidates
86,-39.306675,-43.047028,All candidates
87,-63.916492,-30.009468,All candidates
88,-61.26596,-17.428087,All candidates
89,31.793158,34.220974,All candidates
90,4.123391,2.3644032,All candidates
91,-6.913172,36.655853,All candidates
92,-41.411625,-42.30289,All candidates
93,-38.7108,-43.225018,All candidates
94,-7.6691055,38.78327,All candidates
95,1.204153,35.11993,All candidates
96,37.901436,44.574875,All candidates
97,5.7755084,2.7023568,All candidates
98,34.37252,-54.058968,All candidates
99,-33.84287,-40.600956,All candidates
100,25.941896,-31.30341,All candidates
101,34.192905,-57.008728,All candidates
102,-82.08678,2.4557939,All candidates
103,19.865227,16.299643,All candidates
104,57.695705,-22.422573,All candidates
105,-41.823635,-43.168438,All candidates
106,-43.3048,-41.608944,All candidates
107,11.663096,-49.83311,All candidates
108,5.4253445,-66.74842,All candidates
109,-23.562988,21.688639,All candidates
110,10.244991,-61.070244,All candidates
111,-38.776123,-16.2365,All candidates
112,20.664242,-13.235158,All candidates
113,27.036306,-50.042328,All candidates
114,29.638838,-20.765238,All candidates
115,5.218487,31.319317,All candidates
116,-35.58091,-34.30872,All candidates
117,-57.18929,-23.837372,All candidates
118,5.4614844,2.8671203,All candidates
119,28.03847,-30.154959,All candidates
120,7.4618754,-66.03129,All candidates
121,-12.64947,68.001976,All candidates
122,-68.28156,-25.011492,All candidates
123,43.53884,-43.425793,All candidates
124,0.67498434,-58.22577,All candidates
125,-57.09193,-21.571232,All candidates
126,-21.431988,40.520096,All candidates
127,39.89103,-48.95347,All candidates
128,25.788956,-31.891691,All candidates
129,55.757557,-22.247835,All candidates
130,-18.98971,-66.60648,All candidates
131,-39.25286,30.050308,All candidates
132,-18.704912,6.387791,All candidates
133,-4.7862144,34.74697,All candidates
134,-4.786222,34.74621,All candidates
135,20.344439,-30.08777,All candidates
136,-65.66218,-18.654217,All candidates
137,-38.775055,-16.357449,All candidates
138,-17.76722,-5.3369784,All candidates
139,4.6553717,1.5660883,All candidates
140,-41.167538,-41.60096,All candidates
141,18.538837,-30.215496,All candidates
142,-32.416855,26.421642,All candidates
143,19.526575,17.14286,All candidates
144,-83.28167,6.8879433,All candidates
145,0.8072001,-58.23807,All candidates
146,24.549135,55.99465,All candidates
147,35.714554,-56.520058,All candidates
148,7.545224,-66.11771,All candidates
149,37.5844,-53.112186,All candidates
150,35.838303,-21.447481,All candidates
151,4.968918,2.9685106,All candidates
152,-32.193375,25.409853,All candidates
153,5.219798,-60.574917,All candidates
154,39.109646,44.916946,All candidates
155,36.48092,-52.70853,All candidates
156,58.896385,-21.892155,All candidates
157,-17.428562,36.546867,All candidates
158,-48.218033,24.79669,All candidates
159,32.780636,-20.026054,All candidates
160,-7.6693635,38.783577,All candidates
161,6.529264,-60.29641,All candidates
162,34.78132,-51.244576,All candidates
163,35.203045,-50.46437,All candidates
164,37.21074,-52.67644,All candidates
165,37.823994,-51.17974,All candidates
166,-2.1397629,41.234375,All candidates
167,-4.983867,-41.581524,All candidates
168,-83.1088,1.5208309,All candidates
169,-20.221306,38.036774,All candidates
170,2.836107,-63.137215,All candidates
171,35.406296,-57.853275,All candidates
172,38.749413,44.176754,All candidates
173,39.021717,44.788128,All candidates
174,38.4492,-41.88334,All candidates
175,38.027916,-54.759403,All candidates
176,34.16252,-54.441715,All candidates
177,-41.753563,-42.709866,All candidates
178,-1.9080912,73.914505,All candidates
179,3.8351378,2.8493464,All candidates
